BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
C000754,HON. JIM COOPER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/27/2017,AP,E0478504,CITIBANK GOV CARD SERVICE,11/29/2016,12/2/2016,CAR RENTAL,133.29,2016,CITIBANK GOV CARD SERVICE
C001059,HON. JIM COSTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0499382,LOPEZ JUAN E.,2/21/2017,2/25/2017,CAR RENTAL,208.41,2017,LOPEZ JUAN E.
C001059,HON. JIM COSTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0499388,PETERSEN JEREMY S.,2/17/2017,2/25/2017,CAR RENTAL,374.2,2017,PETERSEN JEREMY S.
C001059,HON. JIM COSTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/5/2017,AP,E0474499,PETERSEN JEREMY S.,12/18/2016,12/22/2016,CAR RENTAL,171.86,2016,PETERSEN JEREMY S.
C001059,HON. JIM COSTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/5/2017,AP,E0474506,LOPEZ JUAN E.,12/13/2016,12/18/2016,CAR RENTAL,284.65,2016,LOPEZ JUAN E.
C001059,HON. JIM COSTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/25/2017,AP,E0480499,SOLBERG KRISTINA S.,12/19/2016,12/23/2016,CAR RENTAL,248.4,2016,SOLBERG KRISTINA S.
C001096,HON. KEVIN CRAMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/23/2017,AP,902301,CITIBANK GOV CARD SERVICE,1/17/2017,1/19/2017,CAR RENTAL,178.04,2017,CITIBANK GOV CARD SERVICE
C001096,HON. KEVIN CRAMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/19/2017,AP,897131,CITIBANK GOV CARD SERVICE,12/9/2016,12/23/2016,CAR RENTAL,964.98,2016,CITIBANK GOV CARD SERVICE
C001096,HON. KEVIN CRAMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/23/2017,AP,902301,CITIBANK GOV CARD SERVICE,12/27/2016,12/29/2016,CAR RENTAL,163.71,2016,CITIBANK GOV CARD SERVICE
C001087,"HON. ERIC A. ""RICK"" CRAWFORD",2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/15/2017,AP,E0487226,BURGESS ABBIGAIL L.,1/16/2017,1/19/2017,CAR RENTAL,155.07,2017,BURGESS ABBIGAIL L.
C001045,HON. ANDER CRENSHAW,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/24/2017,AP,E0470726,STRIEBEL PRIEST ERICA A.,10/26/2016,10/27/2016,CAR RENTAL,135.22,2016,STRIEBEL PRIEST ERICA A.
C001111,HON. CHARLIE CRIST,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/14/2017,AP,E0494323,DURRER AUSTIN,2/20/2017,2/24/2017,CAR RENTAL,144.01,2017,DURRER AUSTIN
C001063,HON. HENRY CUELLAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/24/2017,AP,E0490191,CITIBANK GOV CARD SERVICE,1/14/2017,1/17/2017,CAR RENTAL,144.18,2017,CITIBANK GOV CARD SERVICE
C001063,HON. HENRY CUELLAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/21/2017,AP,E0487768,CITIBANK GOV CARD SERVICE,12/10/2016,12/22/2016,CAR RENTAL,231.63,2016,CITIBANK GOV CARD SERVICE
C001048,HON. JOHN ABNEY CULBERSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/4/2017,AP,E0473884,GAHUN JAMIE H.,12/14/2016,12/16/2016,CAR RENTAL,184.45,2016,GAHUN JAMIE H.
C001107,HON. CARLOS CURBELO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/9/2017,AP,E0493114,SCHULTHEIS ROY M.,2/20/2017,2/21/2017,CAR RENTAL,361.98,2017,SCHULTHEIS ROY M.
C001107,HON. CARLOS CURBELO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/20/2017,AP,E0478577,SCHULTHEIS ROY M.,12/25/2016,12/25/2016,CAR RENTAL,174.85,2016,SCHULTHEIS ROY M.
D000598,HON. SUSAN A. DAVIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/7/2017,AP,E0485555,PEDRAMRAZI ARMITA,1/14/2017,1/17/2017,CAR RENTAL,244.29,2017,PEDRAMRAZI ARMITA
D000598,HON. SUSAN A. DAVIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/8/2017,AP,E0485557,SHERMAN LISA,1/14/2017,1/19/2017,CAR RENTAL,263.73,2017,SHERMAN LISA
D000598,HON. SUSAN A. DAVIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/8/2017,AP,E0485567,HUNTER AARON,1/14/2017,1/29/2017,CAR RENTAL,458.41,2017,HUNTER AARON
D000598,HON. SUSAN A. DAVIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/8/2017,AP,E0485567,HUNTER AARON,1/16/2017,1/16/2017,CAR RENTAL,108.98,2017,HUNTER AARON
D000598,HON. SUSAN A. DAVIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/24/2017,AP,E0490131,PATTON CYNTHIA A.,1/15/2017,1/18/2017,CAR RENTAL,131.01,2017,PATTON CYNTHIA A.
D000598,HON. SUSAN A. DAVIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/9/2017,AP,E0494338,SHERMAN LISA,2/20/2017,2/25/2017,CAR RENTAL,508.67,2017,SHERMAN LISA
D000598,HON. SUSAN A. DAVIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/30/2017,AP,E0500753,HUNTER AARON,3/9/2017,3/13/2017,CAR RENTAL,125.81,2017,HUNTER AARON
D000617,HON. SUZAN K. DELBENE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/15/2017,AP,E0485267,COX RAMSEY C.,1/26/2017,1/27/2017,CAR RENTAL,121.24,2017,COX RAMSEY C.
D000617,HON. SUZAN K. DELBENE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/14/2017,AP,E0474225,SCHMIDT AARON,12/15/2016,12/18/2016,CAR RENTAL,147.71,2016,SCHMIDT AARON
D000621,HON. RON DESANTIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/31/2017,AP,E0481931,CARMACK DUSTIN J.,1/16/2017,1/17/2017,CAR RENTAL,219.5,2017,CARMACK DUSTIN J.
D000621,HON. RON DESANTIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/3/2017,AP,E0478581,CARMACK DUSTIN J.,1/6/2017,1/10/2017,CAR RENTAL,300.55,2017,CARMACK DUSTIN J.
D000621,HON. RON DESANTIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/28/2017,AP,E0497988,CARMACK DUSTIN J.,3/10/2017,3/12/2017,CAR RENTAL,299,2017,CARMACK DUSTIN J.
D000621,HON. RON DESANTIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/30/2017,AP,E0499697,CITIBANK GOV CARD SERVICE,1/22/2017,2/4/2017,CAR RENTAL,1003.36,2017,CITIBANK GOV CARD SERVICE
D000623,HON. MARK DESAULNIER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/13/2017,AP,E0486358,ARNOLD BETSY,1/15/2017,1/15/2017,CAR RENTAL,233.68,2017,ARNOLD BETSY
D000616,HON. SCOTT DESJARLAIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/10/2017,AP,E0494047,WILKINS JR RICHARD C.,2/22/2017,2/24/2017,CAR RENTAL,267.54,2017,WILKINS JR RICHARD C.
D000616,HON. SCOTT DESJARLAIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/23/2017,AP,E0497866,THOMAS BRENDAN A.,2/21/2017,2/24/2017,CAR RENTAL,199.11,2017,THOMAS BRENDAN A.
D000600,HON. MARIO DIAZ-BALART,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/14/2017,AP,E0486330,CITIBANK GOV CARD SERVICE,1/17/2017,1/18/2017,CAR RENTAL,112.77,2017,CITIBANK GOV CARD SERVICE
D000600,HON. MARIO DIAZ-BALART,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/10/2017,AP,E0493470,MENDOZA MIGUEL E.,2/20/2017,2/20/2017,CAR RENTAL,346.95,2017,MENDOZA MIGUEL E.
D000600,HON. MARIO DIAZ-BALART,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/21/2017,AP,E0497051,CITIBANK GOV CARD SERVICE,2/20/2017,2/27/2017,CAR RENTAL,532.33,2017,CITIBANK GOV CARD SERVICE
D000624,HON. DEBBIE DINGELL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/14/2017,AP,E0484776,SUNSTRUM GREGORY J.,12/14/2016,12/16/2016,CAR RENTAL,114.75,2016,SUNSTRUM GREGORY J.
D000614,HON. SEAN P. DUFFY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/28/2017,AP,E0498478,CHARLES P MEACHUM,3/3/2017,3/6/2017,CAR RENTAL,464.68,2017,CHARLES P MEACHUM
D000615,HON. JEFF DUNCAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/14/2017,AP,E0494530,KLUMP ALLEN,2/10/2017,2/10/2017,CAR RENTAL,136.41,2017,KLUMP ALLEN
D000628,HON. NEAL P. DUNN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/29/2017,AP,E0498354,SCHUBERT BRIAN S.,2/20/2017,2/22/2017,CAR RENTAL,222.65,2017,SCHUBERT BRIAN S.
E000294,HON. TOM EMMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/23/2017,AP,E0495842,CITIBANK GOV CARD SERVICE,2/21/2017,2/24/2017,CAR RENTAL,1043.12,2017,CITIBANK GOV CARD SERVICE
E000294,HON. TOM EMMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/16/2017,AP,E0486020,CITIBANK GOV CARD SERVICE,12/19/2016,12/20/2016,CAR RENTAL,312.12,2016,CITIBANK GOV CARD SERVICE
E000215,HON. ANNA G. ESHOO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/12/2017,AP,E0497085,MCMURRAY MATTHEW M.,3/3/2017,3/5/2017,CAR RENTAL,102.4,2017,MCMURRAY MATTHEW M.
E000293,HON. ELIZABETH H. ESTY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/10/2017,AP,E0485794,DALY TIMOTHY P,1/24/2017,1/27/2017,CAR RENTAL,181.25,2017,DALY TIMOTHY P
E000293,HON. ELIZABETH H. ESTY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/15/2017,AP,E0487401,BADGER HILARY S,1/25/2017,1/27/2017,CAR RENTAL,439.56,2017,BADGER HILARY S
E000293,HON. ELIZABETH H. ESTY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/22/2017,AP,E0498419,DALY TIMOTHY P,3/2/2017,3/6/2017,CAR RENTAL,111.38,2017,DALY TIMOTHY P
E000293,HON. ELIZABETH H. ESTY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/3/2017,AP,E0483843,DALY TIMOTHY P,12/17/2016,12/21/2016,CAR RENTAL,350.86,2016,DALY TIMOTHY P
F000460,HON. BLAKE FARENTHOLD,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/21/2017,AP,E0490445,CITIBANK GOV CARD SERVICE,1/6/2017,1/8/2017,CAR RENTAL,234.13,2017,CITIBANK GOV CARD SERVICE
F000464,HON. JOHN J. FASO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/30/2017,AP,E0482231,HON JOHN FASO,1/17/2017,1/19/2017,CAR RENTAL,159.97,2017,HON JOHN FASO
F000464,HON. JOHN J. FASO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/13/2017,AP,E0486670,HON JOHN FASO,1/24/2017,1/24/2017,CAR RENTAL,173.07,2017,HON JOHN FASO
F000459,"HON. CHARLES J. ""CHUCK"" FLEISCHMANN",2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/29/2017,AP,E0494639,PALMER ANDREW C.,2/21/2017,3/5/2017,CAR RENTAL,121.13,2017,PALMER ANDREW C.
F000461,HON. BILL FLORES,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/11/2017,AP,E0476372,CITIBANK GOV CARD SERVICE,11/8/2016,11/9/2016,CAR RENTAL,267.26,2016,CITIBANK GOV CARD SERVICE
F000461,HON. BILL FLORES,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/26/2017,AP,E0480851,CITIBANK GOV CARD SERVICE,12/2/2016,12/5/2016,CAR RENTAL,159.8,2016,CITIBANK GOV CARD SERVICE
F000449,HON. JEFF FORTENBERRY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/16/2017,AP,E0498474,CITIBANK GOV CARD SERVICE,2/3/2017,2/13/2017,CAR RENTAL,361.07,2017,CITIBANK GOV CARD SERVICE
F000449,HON. JEFF FORTENBERRY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/16/2017,AP,E0498537,CITIBANK GOV CARD SERVICE,1/3/2017,1/31/2017,CAR RENTAL,1150.63,2017,CITIBANK GOV CARD SERVICE
F000449,HON. JEFF FORTENBERRY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/30/2017,AP,E0498559,CITIBANK GOV CARD SERVICE,12/12/2016,1/19/2017,CAR RENTAL,1040.91,2017,CITIBANK GOV CARD SERVICE
F000449,HON. JEFF FORTENBERRY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/6/2017,AP,E0473595,CITIBANK GOV CARD SERVICE,9/30/2016,11/2/2016,CAR RENTAL,922.27,2016,CITIBANK GOV CARD SERVICE
F000449,HON. JEFF FORTENBERRY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/27/2017,AP,E0478093,CITIBANK GOV CARD SERVICE,9/30/2016,9/30/2016,CAR RENTAL,116.11,2016,CITIBANK GOV CARD SERVICE
F000449,HON. JEFF FORTENBERRY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/27/2017,AP,E0478093,CITIBANK GOV CARD SERVICE,10/14/2016,10/14/2016,CAR RENTAL,194.38,2016,CITIBANK GOV CARD SERVICE
F000449,HON. JEFF FORTENBERRY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/27/2017,AP,E0478093,CITIBANK GOV CARD SERVICE,10/20/2016,10/20/2016,CAR RENTAL,148.03,2016,CITIBANK GOV CARD SERVICE
F000449,HON. JEFF FORTENBERRY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/27/2017,AP,E0481512,CITIBANK GOV CARD SERVICE,12/5/2016,12/5/2016,CAR RENTAL,474.89,2016,CITIBANK GOV CARD SERVICE
F000449,HON. JEFF FORTENBERRY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/8/2017,AP,E0485514,CITIBANK GOV CARD SERVICE,11/3/2016,11/16/2016,CAR RENTAL,339.06,2016,CITIBANK GOV CARD SERVICE
F000454,HON. BILL FOSTER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/10/2017,AP,E0483149,ELIAS ADAM J,1/18/2017,1/19/2017,CAR RENTAL,212.96,2017,ELIAS ADAM J
F000454,HON. BILL FOSTER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/6/2017,AP,E0472442,ELIAS ADAM J,12/6/2016,12/7/2016,CAR RENTAL,139.05,2016,ELIAS ADAM J
F000450,HON. VIRGINIA FOXX,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/10/2017,AP,E0485327,ARTZ CYRUS L,1/16/2017,1/18/2017,CAR RENTAL,250.95,2017,ARTZ CYRUS L
F000450,HON. VIRGINIA FOXX,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/22/2017,AP,E0497065,ARTZ CYRUS L,2/20/2017,2/22/2017,CAR RENTAL,157.18,2017,ARTZ CYRUS L
F000450,HON. VIRGINIA FOXX,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/6/2017,AP,E0472618,CITIBANK GOV CARD SERVICE,10/28/2016,11/22/2016,CAR RENTAL,326.42,2016,CITIBANK GOV CARD SERVICE
F000450,HON. VIRGINIA FOXX,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/3/2017,AP,E0483341,CITIBANK GOV CARD SERVICE,11/29/2016,12/12/2016,CAR RENTAL,187.01,2016,CITIBANK GOV CARD SERVICE
F000462,HON. LOIS FRANKEL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/8/2017,AP,E0474977,DUBLER GRANT C.,12/9/2016,12/12/2016,CAR RENTAL,219.04,2016,DUBLER GRANT C.
F000448,HON. TRENT FRANKS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/3/2017,AP,E0484134,CITIBANK GOV CARD SERVICE,1/13/2017,1/17/2017,CAR RENTAL,452.72,2017,CITIBANK GOV CARD SERVICE
F000448,HON. TRENT FRANKS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0498950,BRAUN ANDREW P.,3/10/2017,3/14/2017,CAR RENTAL,361.95,2017,BRAUN ANDREW P.
F000448,HON. TRENT FRANKS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/11/2017,AP,E0476990,CITIBANK GOV CARD SERVICE,11/8/2016,11/10/2016,CAR RENTAL,242.08,2016,CITIBANK GOV CARD SERVICE
F000448,HON. TRENT FRANKS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/12/2017,AP,E0476976,CITIBANK GOV CARD SERVICE,12/14/2016,12/17/2016,CAR RENTAL,171.53,2016,CITIBANK GOV CARD SERVICE
F000448,HON. TRENT FRANKS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/17/2017,AP,E0478458,CITIBANK GOV CARD SERVICE,12/2/2016,12/5/2016,CAR RENTAL,232.33,2016,CITIBANK GOV CARD SERVICE
F000372,HON. RODNEY P. FRELINGHUYSEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/15/2017,AP,E0487689,SILVESTRI STEVEN A.,1/26/2017,1/27/2017,CAR RENTAL,110.03,2017,SILVESTRI STEVEN A.
F000455,HON. MARCIA FUDGE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/3/2017,AP,E0470543,CITIBANK GOV CARD SERVICE,10/25/2016,11/1/2016,CAR RENTAL,336.46,2016,CITIBANK GOV CARD SERVICE
F000455,HON. MARCIA FUDGE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/3/2017,AP,E0480332,WILLIAMS III CLIFTON R,11/3/2016,11/9/2016,CAR RENTAL,255.63,2016,WILLIAMS III CLIFTON R
F000455,HON. MARCIA FUDGE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/3/2017,AP,E0480332,WILLIAMS III CLIFTON R,12/15/2016,12/18/2016,CAR RENTAL,139.89,2016,WILLIAMS III CLIFTON R
G000571,HON. TULSI GABBARD,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/11/2017,AP,E0476529,MCMILLIAN CATHERINE C.,11/1/2016,11/30/2016,CAR RENTAL,400.11,2016,MCMILLIAN CATHERINE C.
G000571,HON. TULSI GABBARD,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/11/2017,AP,E0476537,MORGAN JAMIE R.,11/1/2016,11/30/2016,CAR RENTAL,541.83,2016,MORGAN JAMIE R.
G000559,HON. JOHN GARAMENDI,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/16/2017,AP,E0496296,SIDDIQUI FAISAL,6/1/2016,6/3/2016,CAR RENTAL,108.51,2016,SIDDIQUI FAISAL
G000548,HON. SCOTT GARRETT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/3/2017,AP,E0473726,HON. SCOTT GARRETT,7/9/2016,7/16/2016,CAR RENTAL,306.24,2016,HON. SCOTT GARRETT
G000548,HON. SCOTT GARRETT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/3/2017,AP,E0473726,HON. SCOTT GARRETT,11/12/2016,12/12/2016,CAR RENTAL,886.62,2016,HON. SCOTT GARRETT
G000548,HON. SCOTT GARRETT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/6/2017,AP,E0475525,HON. SCOTT GARRETT,12/14/2016,12/21/2016,CAR RENTAL,343.69,2016,HON. SCOTT GARRETT
G000582,HON. JENNIFFER GONZALEZ-COLON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/31/2017,AP,E0501327,CITIBANK GOV CARD SERVICE,2/19/2017,2/21/2017,CAR RENTAL,262.75,2017,CITIBANK GOV CARD SERVICE
G000565,HON. PAUL A. GOSAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/16/2017,AP,E0488368,CITIBANK GOV CARD SERVICE,1/10/2017,1/13/2017,CAR RENTAL,154.18,2017,CITIBANK GOV CARD SERVICE
G000565,HON. PAUL A. GOSAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/21/2017,AP,E0486786,CITIBANK GOV CARD SERVICE,12/10/2016,1/25/2017,CAR RENTAL,1646.65,2017,CITIBANK GOV CARD SERVICE
G000565,HON. PAUL A. GOSAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/1/2017,AP,E0492930,CITIBANK GOV CARD SERVICE,12/19/2016,1/27/2017,CAR RENTAL,1003.94,2017,CITIBANK GOV CARD SERVICE
G000565,HON. PAUL A. GOSAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/6/2017,AP,E0493030,VAN FLEIN THOMAS V.,2/15/2017,2/23/2017,CAR RENTAL,243.07,2017,VAN FLEIN THOMAS V.
G000565,HON. PAUL A. GOSAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0499272,CITIBANK GOV CARD SERVICE,2/1/2017,2/27/2017,CAR RENTAL,719.76,2017,CITIBANK GOV CARD SERVICE
G000565,HON. PAUL A. GOSAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/31/2017,AP,E0499271,CITIBANK GOV CARD SERVICE,1/26/2017,2/28/2017,CAR RENTAL,1560.22,2017,CITIBANK GOV CARD SERVICE
G000565,HON. PAUL A. GOSAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/6/2017,AP,E0471026,CITIBANK GOV CARD SERVICE,10/24/2016,11/23/2016,CAR RENTAL,1667.9,2016,CITIBANK GOV CARD SERVICE
G000565,HON. PAUL A. GOSAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/25/2017,AP,E0480606,CITIBANK GOV CARD SERVICE,12/1/2016,12/27/2016,CAR RENTAL,140.12,2016,CITIBANK GOV CARD SERVICE
G000565,HON. PAUL A. GOSAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/3/2017,AP,898493,CITIBANK GOV CARD SERVICE,11/17/2016,11/30/2016,CAR RENTAL,707.07,2016,CITIBANK GOV CARD SERVICE
G000377,HON. KAY GRANGER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/22/2017,AP,E0497562,KOCHMAN BENJAMIN D.,2/8/2017,2/10/2017,CAR RENTAL,205.73,2017,KOCHMAN BENJAMIN D.
G000546,HON. SAM GRAVES,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/19/2017,AP,E0478110,ENTERPRISE RENT-A-CAR,12/31/2016,1/3/2017,CAR RENTAL,200.08,2017,ENTERPRISE RENT-A-CAR
G000546,HON. SAM GRAVES,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/1/2017,AP,E0480192,ENTERPRISE RENT-A-CAR,1/4/2017,1/5/2017,CAR RENTAL,107.44,2017,ENTERPRISE RENT-A-CAR
G000546,HON. SAM GRAVES,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/1/2017,AP,E0480985,ENTERPRISE RENT-A-CAR,1/6/2017,1/10/2017,CAR RENTAL,225.08,2017,ENTERPRISE RENT-A-CAR
G000546,HON. SAM GRAVES,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/2/2017,AP,E0482042,ENTERPRISE RENT-A-CAR,1/13/2017,1/16/2017,CAR RENTAL,245.83,2017,ENTERPRISE RENT-A-CAR
G000546,HON. SAM GRAVES,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/2/2017,AP,E0482043,ENTERPRISE RENT-A-CAR,1/5/2017,1/10/2017,CAR RENTAL,430.12,2017,ENTERPRISE RENT-A-CAR
G000546,HON. SAM GRAVES,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/8/2017,AP,E0485045,ENTERPRISE RENT-A-CAR,1/17/2017,1/19/2017,CAR RENTAL,107.25,2017,ENTERPRISE RENT-A-CAR
G000546,HON. SAM GRAVES,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/16/2017,AP,E0487245,ENTERPRISE RENT-A-CAR,1/28/2017,1/30/2017,CAR RENTAL,220.38,2017,ENTERPRISE RENT-A-CAR
G000546,HON. SAM GRAVES,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/16/2017,AP,E0487418,EAN SERVICES LLC,1/30/2017,2/1/2017,CAR RENTAL,107.25,2017,EAN SERVICES LLC
G000546,HON. SAM GRAVES,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/27/2017,AP,E0488983,ENTERPRISE RENT-A-CAR,2/1/2017,2/5/2017,CAR RENTAL,192,2017,ENTERPRISE RENT-A-CAR
G000546,HON. SAM GRAVES,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/27/2017,AP,E0488987,ENTERPRISE RENT-A-CAR,2/6/2017,2/8/2017,CAR RENTAL,131.85,2017,ENTERPRISE RENT-A-CAR
G000546,HON. SAM GRAVES,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/28/2017,AP,E0488984,EAN SERVICES LLC,2/2/2017,2/4/2017,CAR RENTAL,107.25,2017,EAN SERVICES LLC
G000546,HON. SAM GRAVES,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/4/2017,AP,E0490761,ENTERPRISE RENT-A-CAR,2/7/2017,2/11/2017,CAR RENTAL,214.5,2017,ENTERPRISE RENT-A-CAR
